"cycle","variable","in_current","in_mockdata_functions","explanation_category","explanation_detail"
"cycle1","gen_015",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle1","gen_018",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle1","gen_020",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle1","paadtot",TRUE,FALSE,"Wrong cycle","Variable only exists in: cycle3, cycle4, cycle5, cycle6"
"cycle1","anymed2",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle1","diab_drug2",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle1","gen_15",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle1","gen_18",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle1","gen_20",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle1","thifimp4",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle1_meds","meucatc",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle1_meds","mhr_131b",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle1_meds","mhr_132b",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle1_meds","mhr_133b",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle1_meds","mhr_134b",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle1_meds","mhr_135b",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle1_meds","npi_25b",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle2","gen_015",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle2","gen_018",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle2","gen_020",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle2","lbf_soc",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle2","paadtot",TRUE,FALSE,"Wrong cycle","Variable only exists in: cycle3, cycle4, cycle5, cycle6"
"cycle2","anymed2",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle2","diab_drug2",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle2","gen_15",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle2","gen_18",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle2","gen_20",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle2","lafcoc16",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle2","thifimp4",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle2_meds","meucatc",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle2_meds","mhr_131b",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle2_meds","mhr_132b",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle2_meds","mhr_133b",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle2_meds","mhr_134b",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle2_meds","mhr_135b",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle2_meds","npi_25b",FALSE,TRUE,"Metadata-driven","Variable exists in metadata but not included in current manual data"
"cycle3","gen_015",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle3","gen_018",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle3","gen_020",TRUE,FALSE,"Not in metadata","Variable in current data but not found in variables.csv"
"cycle3","gfvd17dy",TRUE,FALSE,"Unknown","Needs investigation"
