variable,label,labelLong,section,subject,variableType,units,databaseStart,variableStart
ace_med,ACE inhibitors,Taking ACE inhibitors,Health status,Medication,Categorical,N/A,"cycle1_meds, cycle2_meds, cycle3_meds, cycle4_meds, cycle5_meds, cycle6_meds","DerivedVar::[atc_101a, atc_102a, atc_103a, atc_104a, atc_105a, atc_106a, atc_107a, atc_108a, atc_109a, atc_110a, atc_111a, atc_112a, atc_113a, atc_114a, atc_115a, atc_201a, atc_202a, atc_203a, atc_204a, atc_205a, atc_206a, atc_207a, atc_208a, atc_209a, atc_210a, atc_211a, atc_212a, atc_213a, atc_214a, atc_215a, atc_131a, atc_132a, atc_133a, atc_134a, atc_135a, atc_231a, atc_232a, atc_233a, atc_234a, atc_235a, mhr_101b, mhr_102b, mhr_103b, mhr_104b, mhr_105b, mhr_106b, mhr_107b, mhr_108b, mhr_109b, mhr_110b, mhr_111b, mhr_112b, mhr_113b, mhr_114b, mhr_115b, mhr_201b, mhr_202b, mhr_203b, mhr_204b, mhr_205b, mhr_206b, mhr_207b, mhr_208b, mhr_209b, mhr_210b, mhr_211b, mhr_212b, mhr_213b, mhr_214b, mhr_215b, mhr_131b, mhr_132b, mhr_133b, mhr_134b, mhr_135b, mhr_231b, mhr_232b, mhr_233b, mhr_234b, mhr_235b]; DerivedVar::[meucatc, npi_25b]"
adj_hh_income,Adjusted household income,Adjusted total household income based on household size,Socioeconomic,Income,Continuous,$,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[thi_01, dhhdsz]"
agegroup2079,Age ,Converted age (2 groups),Sociodemographics,Age,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::CLC_AGE, [clc_age]"
agegroup4,Age ,Converted age (4 groups),Sociodemographics,Age,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::CLC_AGE, [clc_age]"
alc_11,Drank in past year,Drank alcohol - past 12 months,Health behaviour,Alcohol,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6:: ALC_11, [alc_11]"
alc_17,Ever drank alcohol,Ever had a drink,Health behaviour,Alcohol,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::ALC_17, [alc_17]"
alc_18,Drank alcohol regularly,Regularly drank more than 12 drinks a week,Health behaviour,Alcohol,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::ALC_18, [alc_18]"
alc_detailed_risk_score,Alcohol consumption level,Low risk drinking score - former/never drinking categories,Health behaviour,Alcohol,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[clc_sex, alc_11, alcdwky, alc_17, alc_18]"
alc_risk_score,Alcohol consumption level,Low risk drinking score ,Health behaviour,Alcohol,Categorical,N/A,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","DerivedVar::[clc_sex, alc_11, alcdwky]"
alcdwky,Drinks in week,"	Weekly consumption - (D)",Health behaviour,Alcohol,Continuous,drinks/week,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6","cycle6::ALCDWKY, [alcdwky]"
