variable,,dummyVariable,,,typeEnd,databaseStart,,,,,variableStart,,,,,,,,typeStart,recEnd,,,,numValidCat,,catLabel,,catLabelLong,,units,,recStart,,catStartLabel,,,,,variableStartShortLabel,,,,,variableStartLabel,,,,,,,notes
ACEmed,,N/A,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[MEUCATC, NPI_25B]",,,,,,,,N/A,Func::is_ace_inhibitor,,,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,,,,ACE inhibitors,,,,,Taking ACE inhibitors,,,,,,,"Derived from MEUCATC, NPI_25A, and NPI_25B"
ACEmed,,ACEmed_cat2_1,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[MEUCATC, NPI_25B]",,,,,,,,N/A,1,,,,2,,Yes,,Yes,,N/A,,N/A,,Yes,,,,,ACE inhibitors,,,,,Taking ACE inhibitors,,,,,,,
ACEmed,,ACEmed_cat2_2,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[MEUCATC, NPI_25B]",,,,,,,,N/A,2,,,,2,,No,,No,,N/A,,N/A,,No,,,,,ACE inhibitors,,,,,Taking ACE inhibitors,,,,,,,
ACEmed,,ACEmed_cat2_NA::b,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[MEUCATC, NPI_25B]",,,,,,,,N/A,NA::b,,,,2,,missing,,missing,,N/A,,N/A,,missing,,,,,ACE inhibitors,,,,,Taking ACE inhibitors,,,,,,,
adj_hh_inc,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[THI_01, DHHDHSZ]",,,,,,,,N/A,Func::calculate_Hhld_Income,,,,N/A,,N/A,,N/A,,$,,N/A,,Adjusted household income,,,,,Adjusted household income,,,,,Adjusted total household income based on household size,,,,,,,Derived from THI_01 and hh_size_wt
adj_hh_inc,,N/A,,,cont,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,"DerivedVar::[THI_01, DHHDHSZ]",,,,,,,,N/A,NA::b,,,,N/A,,missing,,missing,,$,,N/A,,Adjusted household income,,,,,Adjusted household income,,,,,Adjusted total household income based on household size,,,,,,,
agegroup2079,,agegroup2079_cat2_1,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CLC_AGE],,,,,,,,cont,1,,,,2,,20 to 79 years,,20 to 79 years,,N/A,,"[20, 79]",,20 to 79 years,,,,,Age ,,,,,Converted age (2 groups),,,,,,,
agegroup2079,,agegroup2079_cat2_2,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CLC_AGE],,,,,,,,cont,2,,,,2,,Not 20 to 79 years,,Not 20 to 79 years,,N/A,,"[3, 19]",,Not 20 to 70 years,,,,,Age ,,,,,Converted age (2 groups),,,,,,,
agegroup2079,,agegroup2079_cat2_2,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CLC_AGE],,,,,,,,cont,2,,,,2,,Not 20 to 79 years,,Not 20 to 79 years,,N/A,,80,,Not 20 to 70 years,,,,,Age ,,,,,Converted age (2 groups),,,,,,,
agegroup2079,,agegroup2079_cat2_NA::a,,,cat,"cycle1, cycle2, cycle3, cycle4, cycle5, cycle6",,,,,[CLC_AGE],,,,,,,,cont,NA::a,,,,2,,not applicable,,not applicable,,N/A,,996,,Valid skip,,,,,Age ,,,,,Converted age (2 groups),,,,,,,
